station_id,2023-05-06
SNOTEL:582_UT_SNTL,4.6
SNOTEL:583_UT_SNTL,0
SNOTEL:585_WY_SNTL,7.6
SNOTEL:587_CA_SNTL,42.9
SNOTEL:588_ID_SNTL,13.8
SNOTEL:589_CO_SNTL,6.3
SNOTEL:590_MT_SNTL,23.6
SNOTEL:591_WA_SNTL,49.4
SNOTEL:592_UT_SNTL,0
SNOTEL:593_UT_SNTL,0.1
SNOTEL:596_UT_SNTL,49.7
SNOTEL:597_WY_SNTL,12
SNOTEL:598_WY_SNTL,-9999
SNOTEL:600_ID_SNTL,46.6
SNOTEL:603_MT_SNTL,17.8
SNOTEL:604_MT_SNTL,0
SNOTEL:605_OR_SNTL,0.1
SNOTEL:606_WA_SNTL,47.1
SNOTEL:607_CO_SNTL,2.1
SNOTEL:610_ID_SNTL,22.4
SNOTEL:611_SD_SNTL,-9999
SNOTEL:612_UT_SNTL,27.9
SNOTEL:613_MT_SNTL,0
SNOTEL:614_OR_SNTL,9.3
SNOTEL:615_NV_SNTL,42.3
SNOTEL:616_WY_SNTL,7.2
SNOTEL:617_AZ_SNTL,-9999
SNOTEL:619_OR_SNTL,32.8
SNOTEL:620_ID_SNTL,16.8
SNOTEL:621_UT_SNTL,14.7
SNOTEL:622_CO_SNTL,20.5
SNOTEL:623_ID_SNTL,12.7
SNOTEL:625_WY_SNTL,8.9
SNOTEL:626_UT_SNTL,38.9
SNOTEL:627_ID_SNTL,20.4
SNOTEL:628_UT_SNTL,49.1
SNOTEL:629_CO_SNTL,12
SNOTEL:630_WA_SNTL,-9999
SNOTEL:633_CA_SNTL,46.7
SNOTEL:637_ID_SNTL,25.5
SNOTEL:640_AZ_SNTL,-9999
SNOTEL:642_WA_SNTL,-9999
SNOTEL:643_UT_SNTL,16.5
SNOTEL:644_WA_SNTL,11.7
SNOTEL:645_ID_SNTL,19.5
SNOTEL:646_MT_SNTL,39.7
SNOTEL:647_OR_SNTL,25.2
SNOTEL:648_WA_SNTL,36.4
SNOTEL:649_MT_SNTL,13.4
SNOTEL:650_ID_SNTL,20.4
SNOTEL:651_OR_SNTL,53.6
SNOTEL:652_NV_SNTL,69.3
SNOTEL:654_ID_SNTL,0
SNOTEL:655_OR_SNTL,26.7
SNOTEL:657_MT_SNTL,7
SNOTEL:658_CO_SNTL,0.3
SNOTEL:659_MT_SNTL,-9999
SNOTEL:661_WY_SNTL,5.8
SNOTEL:662_MT_SNTL,8.7
SNOTEL:663_CO_SNTL,11.1
SNOTEL:664_MT_SNTL,37
SNOTEL:665_NM_SNTL,0.5
SNOTEL:666_OR_SNTL,37.1
SNOTEL:667_MT_SNTL,34.5
SNOTEL:669_CO_SNTL,17.1
SNOTEL:670_MT_SNTL,1.5
SNOTEL:671_OR_SNTL,2.7
SNOTEL:672_WA_SNTL,50
SNOTEL:673_WY_SNTL,40.3
SNOTEL:676_WY_SNTL,0
SNOTEL:677_ID_SNTL,5.9
SNOTEL:678_NM_SNTL,-9999
SNOTEL:680_CO_SNTL,10.5
SNOTEL:681_WA_SNTL,27.8
SNOTEL:682_CO_SNTL,45.3
SNOTEL:683_WY_SNTL,25.7
SNOTEL:684_UT_SNTL,20.5
SNOTEL:685_CO_SNTL,-9999
SNOTEL:686_UT_SNTL,18.7
SNOTEL:689_WY_SNTL,27
SNOTEL:690_MT_SNTL,-9999
