station_id,2022-12-10
SNOTEL:467_CO_SNTL,6.9
SNOTEL:470_OR_SNTL,1.6
SNOTEL:472_WY_SNTL,8.7
SNOTEL:474_UT_SNTL,10.6
SNOTEL:475_UT_SNTL,7.1
SNOTEL:476_NV_SNTL,5.3
SNOTEL:477_OR_SNTL,8.5
SNOTEL:478_WA_SNTL,6.2
SNOTEL:480_MT_SNTL,11.9
SNOTEL:481_UT_SNTL,4.5
SNOTEL:482_MT_SNTL,10.4
SNOTEL:483_OR_SNTL,4.5
SNOTEL:484_ID_SNTL,8.3
SNOTEL:485_CO_SNTL,3.9
SNOTEL:486_NM_SNTL,0.2
SNOTEL:487_MT_SNTL,2.6
SNOTEL:488_AZ_SNTL,0.7
SNOTEL:489_ID_SNTL,6.0
SNOTEL:490_ID_SNTL,6.6
SNOTEL:491_NM_SNTL,2.2
SNOTEL:493_ID_SNTL,2.1
SNOTEL:494_OR_SNTL,3.3
SNOTEL:495_UT_SNTL,2.3
SNOTEL:497_WY_SNTL,4.2
SNOTEL:498_NV_SNTL,5.3
SNOTEL:499_WY_SNTL,9.1
SNOTEL:500_MT_SNTL,3.8
SNOTEL:503_NV_SNTL,5.6
SNOTEL:505_CO_SNTL,5.1
SNOTEL:507_WA_SNTL,4.9
SNOTEL:508_CA_SNTL,5.5
SNOTEL:509_WY_SNTL,2.4
SNOTEL:510_MT_SNTL,3.9
SNOTEL:512_WY_SNTL,2.5
SNOTEL:514_UT_SNTL,1.3
SNOTEL:519_AZ_SNTL,0.1
SNOTEL:520_ID_SNTL,17.6
SNOTEL:521_UT_SNTL,2.8
SNOTEL:522_UT_SNTL,2.7
SNOTEL:523_OR_SNTL,8.8
SNOTEL:524_ID_SNTL,6.7
SNOTEL:525_WY_SNTL,5.3
SNOTEL:526_OR_SNTL,7.7
SNOTEL:528_UT_SNTL,2.0
SNOTEL:529_OR_SNTL,6.6
SNOTEL:530_MT_SNTL,10.2
SNOTEL:531_CO_SNTL,3.4
SNOTEL:532_NM_SNTL,3.3
SNOTEL:533_UT_SNTL,6.4
SNOTEL:535_ID_SNTL,4.3
SNOTEL:540_CA_SNTL,3.9
SNOTEL:541_CA_SNTL,9.5
SNOTEL:542_CO_SNTL,4.6
SNOTEL:543_UT_SNTL,2.4
SNOTEL:548_NV_SNTL,4.5
SNOTEL:549_NV_SNTL,-9999.0
SNOTEL:550_ID_SNTL,7.8
SNOTEL:552_OR_SNTL,4.2
SNOTEL:553_WA_SNTL,13.9
SNOTEL:554_WY_SNTL,3.8
